iter	Passed	Remaining
403	10335	66384
404	10364	66381
405	10388	66347
406	10410	66297
407	10437	66285
408	10462	66256
409	10488	66228
410	10514	66209
411	10540	66187
412	10565	66153
413	10589	66120
414	10612	66080
415	10639	66062
416	10664	66030
417	10687	65993
418	10709	65946
419	10736	65929
420	10763	65911
421	10787	65875
422	10813	65851
423	10838	65826
424	10866	65812
425	10892	65787
426	10916	65751
427	10940	65717
428	10966	65694
429	10989	65658
430	11017	65644
431	11041	65612
432	11063	65561
433	11085	65516
434	11111	65492
435	11134	65456
436	11159	65425
437	11181	65380
438	11207	65358
439	11236	65347
440	11260	65318
441	11283	65273
442	11305	65230
443	11331	65204
444	11355	65174
445	11379	65140
446	11404	65110
447	11428	65078
448	11453	65045
449	11478	65021
450	11504	64998
451	11528	64963
452	11551	64923
453	11577	64899
454	11601	64868
455	11627	64845
456	11655	64832
457	11679	64797
458	11704	64770
459	11731	64751
460	11756	64723
461	11778	64678
462	11802	64644
463	11828	64621
464	11851	64582
465	11873	64540
466	11899	64517
467	11924	64489
468	11946	64444
469	11976	64446
470	12006	64441
471	12038	64453
472	12065	64436
473	12097	64444
474	12131	64460
475	12168	64500
476	12199	64503
477	12221	64455
478	12244	64416
479	12267	64381
480	12292	64349
481	12315	64311
482	12340	64284
483	12365	64253
484	12390	64226
485	12414	64191
486	12437	64154
487	12462	64125
488	12487	64097
489	12510	64058
490	12537	64038
491	12560	64004
492	12587	63982
493	12613	63962
494	12636	63922
495	12661	63896
496	12693	63901
497	12722	63893
498	12748	63868
499	12772	63836
500	12795	63799
501	12825	63795
502	12845	63744
503	12871	63718
504	12893	63676
505	12918	63649
506	12942	63613
507	12965	63578
508	12988	63539
509	13012	63504
510	13036	63475
511	13063	63455
512	13085	63411
513	13109	63379
514	13134	63351
515	13158	63319
516	13181	63282
517	13211	63275
518	13236	63248
519	13260	63214
520	13284	63183
521	13308	63150
522	13331	63116
523	13360	63104
524	13385	63076
525	13408	63040
526	13431	63002
527	13454	62965
528	13478	62935
529	13502	62903
530	13527	62873
531	13551	62839
532	13570	62786
533	13595	62758
534	13621	62735
535	13648	62714
536	13670	62675
537	13696	62652
538	13719	62615
539	13744	62587
540	13771	62571
541	13796	62541
542	13824	62526
543	13853	62520
544	13881	62504
545	13911	62499
546	13940	62489
547	13976	62513
548	14011	62527
549	14036	62498
550	14059	62464
551	14085	62441
552	14110	62411
553	14135	62384
554	14160	62359
555	14183	62318
556	14207	62287
557	14231	62256
558	14256	62227
559	14277	62183
560	14302	62157
561	14326	62125
562	14351	62097
563	14374	62061
564	14398	62029
565	14424	62005
566	14447	61969
567	14469	61928
568	14495	61903
569	14518	61868
570	14544	61846
571	14567	61810
572	14593	61786
573	14617	61755
574	14644	61737
575	14671	61718
576	14701	61708
577	14727	61687
578	14754	61667
579	14787	61672
580	14820	61677
581	14846	61658
582	14879	61663
583	14912	61665
584	14946	61677
585	14977	61673
586	15009	61675
587	15039	61668
588	15067	61652
589	15102	61664
590	15133	61658
591	15165	61661
592	15197	61662
593	15226	61651
594	15258	61649
595	15289	61644
596	15319	61639
597	15346	61615
598	15376	61607
599	15406	61600
600	15437	61597
601	15467	61585
602	15496	61573
603	15524	61558
604	15554	61550
605	15585	61543
606	15611	61521
607	15642	61516
608	15686	61559
609	15729	61604
610	15764	61612
611	15794	61603
612	15826	61600
613	15853	61581
614	15883	61570
615	15907	61538
616	15934	61516
617	15959	61487
618	15982	61452
619	16008	61426
620	16035	61404
621	16073	61424
622	16103	61415
623	16137	61421
624	16169	61416
625	16201	61415
626	16245	61458
627	16274	61443
628	16304	61434
629	16333	61420
630	16360	61398
631	16384	61365
632	16413	61349
633	16439	61325
634	16467	61305
635	16491	61271
636	16516	61244
637	16540	61211
638	16565	61179
639	16588	61142
640	16612	61112
641	16637	61081
642	16665	61063
643	16691	61038
644	16717	61013
645	16742	60981
646	16770	60964
647	16798	60944
648	16823	60918
649	16850	60895
650	16885	60900
651	16911	60876
652	16939	60857
653	16971	60852
654	17002	60844
655	17032	60834
656	17062	60821
657	17090	60803
658	17120	60793
659	17149	60775
660	17178	60761
661	17203	60733
662	17233	60721
663	17262	60703
664	17289	60683
665	17320	60673
666	17345	60645
667	17374	60627
668	17398	60597
669	17431	60594
670	17462	60586
671	17491	60568
672	17522	60561
673	17551	60544
674	17579	60524
675	17606	60504
676	17640	60505
677	17667	60480
678	17695	60461
679	17722	60439
680	17753	60428
681	17782	60415
682	17814	60407
683	17844	60393
684	17873	60379
685	17904	60367
686	17930	60343
687	17962	60335
688	17996	60336
689	18032	60345
690	18070	60356
691	18096	60331
692	18124	60310
693	18148	60278
694	18172	60243
695	18196	60210
696	18222	60184
697	18248	60156
698	18269	60115
699	18294	60084
700	18319	60053
701	18345	60026
702	18364	59979
703	18390	59952
704	18414	59918
705	18437	59882
706	18462	59853
707	18486	59820
708	18513	59797
709	18536	59760
710	18562	59734
711	18592	59721
712	18619	59696
713	18641	59659
714	18665	59625
715	18690	59596
716	18712	59555
717	18739	59534
718	18763	59501
719	18787	59466
720	18811	59434
721	18838	59410
722	18861	59376
723	18884	59340
724	18908	59307
725	18932	59275
726	18958	59249
727	18983	59219
728	19010	59195
729	19036	59168
730	19061	59141
731	19086	59110
732	19111	59082
733	19137	59053
734	19160	59021
735	19187	58996
736	19211	58963
737	19233	58925
738	19259	58898
739	19288	58882
740	19314	58855
741	19340	58831
742	19366	58803
743	19392	58775
744	19416	58746
745	19441	58713
746	19465	58683
747	19493	58663
748	19520	58638
749	19546	58614
750	19573	58589
751	19596	58553
752	19618	58517
753	19642	58484
754	19670	58463
755	19698	58444
756	19727	58426
757	19757	58412
758	19789	58405
759	19822	58398
760	19850	58378
761	19884	58374
762	19915	58362
763	19944	58344
764	19972	58324
765	20010	58333
766	20044	58330
767	20076	58321
768	20102	58293
769	20140	58301
770	20170	58287
771	20205	58285
772	20240	58285
773	20281	58303
774	20322	58319
775	20352	58304
776	20385	58296
777	20410	58266
778	20435	58237
779	20461	58209
780	20489	58189
781	20515	58161
782	20540	58132
783	20564	58099
784	20587	58064
785	20611	58031
786	20635	57998
787	20658	57964
788	20689	57952
789	20721	57942
790	20750	57922
791	20777	57898
792	20806	57881
793	20839	57872
794	20872	57864
795	20903	57853
796	20932	57832
797	20963	57821
798	20997	57814
799	21031	57809
800	21061	57793
801	21092	57781
802	21121	57762
803	21152	57748
804	21185	57739
805	21219	57733
806	21249	57718
807	21280	57705
808	21311	57692
809	21341	57675
810	21373	57662
811	21396	57627
812	21430	57623
813	21461	57608
814	21493	57596
815	21523	57580
816	21551	57558
817	21580	57538
818	21610	57521
819	21642	57510
820	21670	57489
821	21698	57465
822	21729	57451
823	21765	57452
824	21795	57435
825	21827	57422
826	21858	57407
827	21887	57389
828	21916	57369
829	21947	57355
830	21980	57344
831	22013	57336
832	22044	57320
833	22075	57306
834	22114	57311
835	22143	57292
836	22169	57264
837	22189	57222
838	22215	57193
839	22239	57161
840	22264	57130
841	22291	57105
842	22319	57082
843	22346	57058
844	22376	57041
845	22404	57017
846	22427	56982
847	22454	56957
848	22478	56923
849	22503	56892
850	22528	56864
851	22555	56839
852	22583	56815
853	22611	56793
854	22641	56776
855	22672	56761
856	22703	56744
857	22734	56729
858	22766	56718
859	22794	56695
860	22824	56675
861	22855	56661
862	22884	56642
863	22912	56619
864	22939	56593
865	22963	56560
866	22990	56534
867	23014	56501
868	23040	56474
869	23065	56444
870	23093	56421
871	23124	56406
872	23152	56381
873	23180	56359
874	23209	56339
875	23243	56330
876	23276	56320
877	23305	56300
878	23341	56295
879	23373	56283
880	23407	56274
881	23440	56261
882	23471	56245
883	23505	56236
884	23531	56209
885	23556	56178
886	23582	56152
887	23607	56121
888	23630	56086
889	23658	56062
890	23686	56039
891	23717	56022
892	23745	56000
893	23770	55970
894	23803	55959
895	23835	55943
896	23866	55928
897	23901	55921
898	23930	55900
899	23958	55877
900	23988	55856
901	24018	55838
902	24046	55815
903	24076	55796
904	24106	55777
905	24135	55757
906	24165	55738
907	24213	55759
908	24250	55757
909	24285	55750
910	24316	55733
911	24353	55730
912	24395	55737
913	24420	55706
914	24448	55684
915	24475	55657
916	24502	55631
917	24526	55599
918	24555	55576
919	24585	55558
920	24612	55532
921	24644	55516
922	24674	55498
923	24705	55480
924	24735	55460
925	24764	55438
926	24795	55421
927	24825	55403
928	24857	55386
929	24884	55361
930	24922	55359
931	24952	55340
932	24985	55327
933	25013	55303
934	25045	55286
935	25072	55261
936	25100	55238
937	25129	55214
938	25156	55189
939	25185	55166
940	25211	55138
941	25236	55107
942	25262	55080
943	25286	55045
944	25310	55013
945	25336	54984
946	25359	54950
947	25385	54921
948	25409	54888
949	25435	54860
950	25459	54827
951	25484	54796
952	25510	54769
953	25535	54739
954	25561	54709
955	25584	54675
956	25610	54647
957	25635	54616
958	25663	54591
959	25685	54554
960	25711	54527
961	25736	54497
962	25758	54459
963	25783	54428
964	25808	54397
965	25833	54367
966	25860	54342
967	25887	54315
968	25914	54289
969	25939	54258
970	25962	54225
971	25990	54200
972	26017	54174
973	26047	54153
974	26080	54140
975	26110	54120
976	26142	54103
977	26180	54101
978	26212	54084
979	26238	54056
980	26264	54028
981	26291	54002
982	26315	53969
983	26340	53938
984	26366	53910
985	26390	53878
986	26416	53850
987	26438	53814
988	26466	53788
989	26492	53761
990	26516	53728
991	26545	53706
992	26570	53675
993	26593	53642
994	26619	53613
995	26643	53581
996	26669	53552
997	26694	53523
998	26720	53493
999	26746	53466
1000	26774	53442
1001	26799	53410
1002	26824	53382
1003	26848	53349
1004	26872	53316
1005	26897	53286
1006	26921	53254
1007	26944	53220
1008	26971	53193
1009	26997	53167
1010	27025	53141
1011	27047	53106
1012	27072	53076
1013	27097	53045
1014	27125	53022
1015	27151	52992
1016	27179	52968
1017	27205	52941
1018	27230	52911
1019	27258	52886
1020	27282	52854
1021	27308	52827
1022	27335	52800
1023	27361	52772
1024	27386	52742
1025	27413	52716
1026	27437	52684
1027	27463	52655
1028	27488	52626
1029	27515	52599
1030	27539	52568
1031	27564	52537
1032	27587	52505
1033	27611	52471
1034	27635	52439
1035	27661	52412
1036	27687	52384
1037	27714	52358
1038	27738	52326
1039	27763	52297
1040	27787	52265
1041	27811	52233
1042	27834	52199
1043	27858	52168
1044	27885	52142
1045	27911	52113
1046	27934	52080
1047	27958	52047
1048	27984	52021
1049	28011	51994
1050	28037	51967
1051	28061	51934
1052	28088	51909
1053	28113	51878
1054	28136	51846
1055	28163	51819
1056	28187	51787
1057	28215	51763
1058	28243	51740
1059	28276	51724
1060	28307	51706
1061	28338	51687
1062	28369	51668
1063	28398	51646
1064	28432	51631
1065	28465	51616
1066	28491	51589
1067	28514	51556
1068	28539	51525
1069	28562	51493
1070	28589	51467
1071	28615	51438
1072	28640	51409
1073	28666	51380
1074	28695	51357
1075	28721	51329
1076	28746	51301
1077	28769	51267
1078	28797	51243
1079	28824	51217
1080	28848	51184
1081	28874	51156
1082	28900	51130
1083	28926	51102
1084	28953	51075
1085	28981	51050
1086	29010	51028
1087	29035	50999
1088	29059	50967
1089	29087	50942
1090	29112	50914
1091	29135	50879
1092	29159	50849
1093	29186	50822
1094	29212	50795
1095	29240	50770
1096	29265	50740
1097	29290	50711
1098	29314	50681
1099	29339	50651
1100	29366	50624
1101	29391	50594
1102	29418	50568
1103	29446	50544
1104	29471	50515
1105	29498	50488
1106	29524	50461
1107	29552	50435
1108	29576	50405
1109	29602	50377
1110	29625	50345
1111	29652	50317
1112	29677	50288
1113	29702	50259
1114	29729	50234
1115	29755	50206
1116	29777	50171
1117	29803	50143
1118	29828	50114
1119	29852	50083
1120	29876	50051
1121	29902	50024
1122	29930	49999
1123	29953	49967
1124	29980	49941
1125	30004	49910
1126	30029	49880
1127	30054	49850
1128	30080	49824
1129	30107	49797
1130	30139	49779
1131	30167	49754
1132	30197	49733
