iter	Logloss
0	0.657959026
1	0.6278079632
2	0.6009907396
3	0.5760706854
4	0.5485666073
5	0.5285367171
6	0.5119730353
7	0.4943177237
8	0.4784374184
9	0.4638385634
10	0.4529028357
11	0.4432323176
12	0.4314895731
13	0.4223828117
14	0.4149007905
15	0.4076559957
16	0.4006004088
17	0.3922589936
18	0.3857895429
19	0.3809126767
20	0.3768352603
21	0.3724802157
22	0.3669662632
23	0.3637562216
24	0.3603102352
25	0.3572516426
26	0.3538935593
27	0.3503034494
28	0.347121971
29	0.3436472723
30	0.3414391922
31	0.3393922176
32	0.3374083835
33	0.3356185805
34	0.3338590225
35	0.3321127875
36	0.3303748902
37	0.3286812484
38	0.3273496717
39	0.3260104333
40	0.3248581923
41	0.3231850117
42	0.3220171433
43	0.3207628132
44	0.3196427756
45	0.3182868005
46	0.3174347107
47	0.3167985187
48	0.31591053
49	0.3151484533
50	0.3140404335
51	0.3130405086
52	0.3123108657
53	0.3116690621
54	0.3108775135
55	0.3103192683
56	0.309738359
57	0.3092085191
58	0.3086450473
59	0.3080434765
60	0.3073931251
61	0.3067390937
62	0.3062528158
63	0.3057775195
64	0.3053959632
65	0.3049562525
66	0.3044423354
67	0.3040009289
68	0.303586407
69	0.3030984876
70	0.3026192998
71	0.3022245936
72	0.3019068605
73	0.3015366071
74	0.3011943346
75	0.3008626066
76	0.3005686801
77	0.3002107028
78	0.2999647955
79	0.2995981826
80	0.2993223935
81	0.2990451339
82	0.2987532893
83	0.2984130566
84	0.2980921703
85	0.2979228114
86	0.2975769376
87	0.29723417
88	0.2969486019
89	0.2967017129
90	0.2964193705
91	0.2961647812
92	0.2959840903
93	0.2958392355
94	0.295618038
95	0.2954268978
96	0.2951705916
97	0.2949372048
98	0.2947508661
99	0.2945832899
100	0.2943914639
101	0.2941456788
102	0.293971615
103	0.2937263181
104	0.2935032282
105	0.2933578995
106	0.2931733698
107	0.2929601468
108	0.2928387189
109	0.2926226414
110	0.2924740467
111	0.2923374039
112	0.2920624525
113	0.2918565149
114	0.2917092033
115	0.2915732972
116	0.2913622439
117	0.2911100357
118	0.2908991329
119	0.2907491168
120	0.2905406119
121	0.290406591
122	0.2902872175
123	0.2901720664
124	0.2900251957
125	0.2898022645
126	0.2895872124
127	0.2894567618
128	0.2893269927
129	0.2891003141
130	0.2889577261
131	0.2888127749
132	0.2886283414
133	0.2884963519
134	0.2882734176
135	0.2881534787
136	0.2879936849
137	0.287833417
138	0.2877052918
139	0.2875965476
140	0.2874459442
141	0.2873162771
142	0.287185027
143	0.2870720406
144	0.2869502634
145	0.2867707259
146	0.2865767418
147	0.2864183333
148	0.2862371634
149	0.2861513645
150	0.2859817376
151	0.2858125153
152	0.2856568432
153	0.2854831641
154	0.2853175853
155	0.2851907004
156	0.2850730963
157	0.2849893846
158	0.2848418874
159	0.2847346124
160	0.2846186611
161	0.284458995
162	0.2843054015
163	0.2841594641
164	0.2840343598
165	0.2838941235
166	0.2838126504
167	0.2837157265
168	0.2835659266
169	0.2834147397
170	0.2832429358
171	0.2830597107
172	0.2828911121
173	0.2827462301
174	0.2826333101
175	0.2825339385
176	0.2823938889
177	0.2823154802
178	0.2821733697
179	0.2820320434
180	0.2819357917
181	0.2818077093
182	0.281727139
183	0.2815960333
184	0.2814430603
185	0.2813170298
186	0.2812438377
187	0.2811619586
188	0.2810406587
189	0.2809070649
190	0.2808238105
191	0.2806736541
192	0.2805918236
193	0.2804414986
194	0.2803301726
195	0.2801735248
196	0.2800038502
197	0.2799239425
198	0.2798238725
199	0.2797611038
200	0.279645003
201	0.2795160112
202	0.2793967205
203	0.2793404265
204	0.2792152881
205	0.2790763545
206	0.2790033699
207	0.2789341346
208	0.2788483339
209	0.278770616
210	0.2787217935
211	0.2785893525
212	0.2785336949
213	0.2784521421
214	0.2783626201
215	0.2782562251
216	0.2781676294
217	0.2780487567
218	0.2779801638
219	0.2778592282
220	0.2777863987
221	0.2777312862
222	0.2776535466
223	0.2775717986
224	0.2774674884
225	0.2774180281
226	0.2773555695
227	0.2772226579
228	0.2771617773
229	0.27702619
230	0.2769108723
231	0.2768416013
232	0.2767702843
233	0.2766900059
234	0.2766309219
235	0.2765481286
236	0.2763945294
237	0.2763054918
238	0.2762160361
239	0.2760691001
240	0.2759086497
241	0.2758109907
242	0.2757021462
243	0.2756250969
244	0.2755583376
245	0.2754832548
246	0.2754290079
247	0.2753308431
248	0.2752511372
249	0.2751875231
250	0.2751306146
251	0.2750475635
252	0.2749731957
253	0.2748376389
254	0.2747782322
255	0.2746853265
256	0.2746101377
257	0.2745073621
258	0.2744494072
259	0.2743816368
260	0.2743082469
261	0.2742322103
262	0.2741760413
263	0.2740708518
264	0.2740015883
265	0.2739059191
266	0.2738463334
267	0.2737928322
268	0.2736926561
269	0.2736057238
270	0.2734610128
271	0.2733695579
272	0.2733138064
273	0.2732442889
274	0.273178434
275	0.2730194908
276	0.2729203379
277	0.2727980559
278	0.2727208655
279	0.2725308342
280	0.2724461104
281	0.2723646091
282	0.2722495921
283	0.2721686587
284	0.2720768298
285	0.2720235686
286	0.2719730672
287	0.2718723262
288	0.2717952305
289	0.2716860796
290	0.2715799999
291	0.2715156251
292	0.2714355761
293	0.2713479126
294	0.2712996153
295	0.2712371203
296	0.2711068683
297	0.270983115
298	0.2708565954
299	0.2707956452
300	0.270747368
301	0.2707126534
302	0.270643787
303	0.2705669451
304	0.2704768946
305	0.2704152938
306	0.2703732328
307	0.2702860137
308	0.2702036258
309	0.2701180091
310	0.2700194277
311	0.2699805716
312	0.2698929936
313	0.2698270186
314	0.269742192
315	0.2696604796
316	0.269578254
317	0.2694807703
318	0.2694139214
319	0.2693310341
320	0.2692139546
321	0.2691320582
322	0.2690768724
323	0.2689859589
324	0.2689434579
325	0.2688939369
326	0.2688344116
327	0.268786273
328	0.2687158196
329	0.2686605233
330	0.2686123847
331	0.2685440507
332	0.2684721625
333	0.2684276686
334	0.2683627362
335	0.2683141239
336	0.2682403395
337	0.2682084807
338	0.2681487843
339	0.2680584548
340	0.2679930041
341	0.2679459134
342	0.2679160317
343	0.2678717705
344	0.2678185731
345	0.2677500168
346	0.267641334
347	0.2675426792
348	0.2675174066
349	0.2674515146
350	0.2673904974
351	0.2672595153
352	0.2671708331
353	0.2671072726
354	0.2670603491
355	0.2670028445
356	0.266936278
357	0.2668875149
358	0.2668291353
359	0.2667628011
360	0.2667205996
361	0.2666486557
362	0.266589112
363	0.2665469104
364	0.2664963873
365	0.2664640155
366	0.2664282522
367	0.2663984528
368	0.2663664965
369	0.2663102965
370	0.2662619799
371	0.2662008103
372	0.2661745666
373	0.2661523271
374	0.2660549272
375	0.265960828
376	0.2658668896
377	0.2657984169
378	0.2657528856
379	0.2657007582
380	0.2656059502
381	0.2655396213
382	0.2654880453
383	0.2654276085
384	0.265397438
385	0.2653679076
386	0.2653001112
387	0.2652598704
388	0.2652177127
389	0.265150163
390	0.2651004715
391	0.2650032433
392	0.264945404
393	0.2649161152
394	0.2648176643
395	0.2647807358
